Date,Channel,Type,Title/CTA,Owner,Notes
Mon W1,GBP,Photo,Add 5 service photos,You,From gallery
Tue W1,GBP,Fix,Audit categories/services/hours/NAP,You,
Wed W1,Web,Landing Page,Launch LP #1: Mobile Detailing in [City],You,
Thu W1,Social,Short Video,Satisfying Foam Wash | [City],You,Post to IG/TT/YT
Fri W1,Website,FAQ,Publish 5 FAQs,You,Also schedule GBP post
Sat W1,Ops,Capture,Photo capture (10 before/after),Owner,
Sun W1,Social,Queue,Queue 1 short for Mon,You,
Mon W2,Social,Carousel,Interior Detail Highlights,You,IG/FB
Tue W2,Email,Campaign,Welcome + Offer ( off),You,ConvertKit
Wed W2,Social,Short Video,Interior Deep Clean | [City],You,Post to IG/TT/YT
Thu W2,Web,Lead Magnet,Add Wash Checklist to LP #1,You,Download gate
Fri W2,Website,FAQ,Publish 5 FAQs,You,Schedule next week
Sat W2,Ops,Capture,Photo capture (10),Owner,
Sun W2,Reputation,Reviews,Ask 2 recent clients for reviews,You,GBP link
